antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
food,health_beauty,0.017045454545454544,0.13636363636363635,0.017045454545454544,1.0,7.333333333333334,1.0,0.014721074380165289,inf,0.8786127167630059,0.125,1.0,0.5625
home_confort,bed_bath_table,0.03409090909090909,0.23295454545454544,0.03409090909090909,1.0,4.2926829268292686,1.0,0.02614927685950413,inf,0.7941176470588235,0.14634146341463414,1.0,0.573170731707317
art,furniture_decor,0.017045454545454544,0.29545454545454547,0.017045454545454544,1.0,3.3846153846153846,1.0,0.012009297520661155,inf,0.7167630057803468,0.05769230769230768,1.0,0.5288461538461539
home_construction,garden_tools,0.0625,0.10795454545454546,0.022727272727272728,0.36363636363636365,3.368421052631579,1.0,0.015980113636363636,1.4017857142857144,0.7499999999999999,0.15384615384615385,0.28662420382165604,0.28708133971291866
toys,baby,0.07386363636363637,0.11363636363636363,0.022727272727272728,0.3076923076923077,2.707692307692308,1.0,0.014333677685950414,1.2803030303030303,0.6809815950920246,0.13793103448275862,0.21893491124260356,0.25384615384615383
construction_tools_lights,furniture_decor,0.05113636363636364,0.29545454545454547,0.03409090909090909,0.6666666666666666,2.2564102564102564,1.0,0.01898243801652892,2.1136363636363633,0.5868263473053892,0.10909090909090909,0.5268817204301074,0.39102564102564097
others,housewares,0.05113636363636364,0.1534090909090909,0.017045454545454544,0.3333333333333333,2.1728395061728394,1.0,0.009200671487603304,1.2698863636363635,0.5688622754491017,0.0909090909090909,0.21252796420581654,0.2222222222222222
home_construction,furniture_decor,0.0625,0.29545454545454547,0.03977272727272727,0.6363636363636364,2.1538461538461537,1.0,0.02130681818181818,1.9375,0.5714285714285714,0.125,0.48387096774193544,0.38548951048951047
others,bed_bath_table,0.05113636363636364,0.23295454545454544,0.022727272727272728,0.4444444444444444,1.9078590785907859,1.0,0.01081482438016529,1.3806818181818181,0.5014970059880239,0.08695652173913045,0.27572016460905346,0.27100271002710025
furniture_living_room,furniture_decor,0.045454545454545456,0.29545454545454547,0.022727272727272728,0.5,1.6923076923076923,1.0,0.009297520661157025,1.4090909090909092,0.42857142857142855,0.07142857142857142,0.29032258064516125,0.28846153846153844
